9820.102495268919 --- ('artykuł', 'brev') ('koło', 'brev')
7202.404391681775 --- ('z', 'prep') ('dzień', 'subst')
6436.658839936368 --- ('koło', 'brev') ('pan', 'brev')
5620.5341628771275 --- ('sąd', 'subst') ('okręgowy', 'adj')
5474.493533039466 --- ('artykuł', 'brev') ('ustęp', 'brev')
4812.053027105518 --- ('kwota', 'subst') ('złoty', 'brev')
4768.2882343502715 --- ('pan', 'brev') ('córka', 'brev')
3725.8301023840904 --- ('sygnatura', 'brev') ('akt', 'subst')
3630.6545420456678 --- ('koło', 'brev') ('córka', 'brev')
3512.991424979642 --- ('i', 'adj') ('instancja', 'subst')
3085.431348487735 --- ('na', 'prep') ('podstawa', 'subst')
2989.557703264989 --- ('sąd', 'subst') ('wysoki', 'adj')
2986.190072722733 --- ('ubezpieczenie', 'subst') ('społeczny', 'adj')
2952.3105634860694 --- ('sąd', 'subst') ('rejonowy', 'adj')
2938.358570728451 --- ('zgodnie', 'adv') ('z', 'prep')
2498.394749662839 --- ('materiał', 'subst') ('dowodowy', 'adj')
2432.7478759679943 --- ('dzień', 'subst') ('luty', 'adj')
2367.650589850731 --- ('dzień', 'subst') ('grudzień', 'subst')
2248.428215680644 --- ('zw', 'brev') ('z', 'prep')
2206.4757581381127 --- ('sąd', 'subst') ('apelacyjny', 'adj')
2189.6213968051597 --- ('na', 'prep') ('rzecz', 'subst')
2181.2158483974636 --- ('ojciec', 'brev') ('ojciec', 'brev')
2129.0953800100833 --- ('dzień', 'subst') ('styczeń', 'subst')
2111.335428979248 --- ('spółka', 'brev') ('z', 'prep')
2082.294624486007 --- ('sąd', 'subst') ('i', 'adj')
2028.4212300460786 --- ('numer', 'brev') ('pozycja', 'brev')
1977.6811961913481 --- ('dziennik', 'brev') ('ustawa', 'brev')
1977.489754253067 --- ('w', 'prep') ('sprawa', 'subst')
1952.796963072382 --- ('niniejszy', 'adj') ('sprawa', 'subst')
1892.4182566357777 --- ('z', 'prep') ('artykuł', 'brev')
1882.3180152047426 --- ('związek', 'subst') ('z', 'prep')
1838.068100137636 --- ('zeznanie', 'subst') ('świadek', 'subst')
1830.89787886478 --- ('ustęp', 'brev') ('punkt', 'brev')
1830.526548157446 --- ('działalność', 'subst') ('gospodarczy', 'adj')
1726.7483071899042 --- ('styczeń', 'subst') ('rok', 'brev')
1685.4549060435966 --- ('miasto', 'brev') ('inny', 'brev')
1680.7452179975808 --- ('dzień', 'subst') ('czerwiec', 'subst')
1621.5992106497288 --- ('stan', 'subst') ('faktyczny', 'adj')
1555.6690009897575 --- ('grudzień', 'subst') ('rok', 'brev')
1500.539872338064 --- ('zaskarżyć', 'ppas') ('wyrok', 'subst')
1499.8193285623565 --- ('lipiec', 'subst') ('rok', 'brev')
1487.9340224284679 --- ('luty', 'adj') ('rok', 'brev')
1478.9042300619185 --- ('dzień', 'subst') ('wrzesień', 'subst')
1454.750523216091 --- ('w', 'prep') ('związek', 'subst')
1435.7813531933352 --- ('dzień', 'subst') ('marzec', 'subst')
1431.8014778429642 --- ('pozbawienie', 'subst') ('wolność', 'subst')
1411.1916653253138 --- ('w', 'prep') ('dzień', 'subst')
1406.5305083589628 --- ('móc', 'fin') ('być', 'inf')
1405.5469781961292 --- ('wnieść', 'praet') ('o', 'prep')
1404.517083532177 --- ('październik', 'subst') ('rok', 'brev')
1389.1963181002066 --- ('koszt', 'subst') ('proces', 'subst')
1381.1881710011512 --- ('przepis', 'subst') ('artykuł', 'brev')
1364.0871399538592 --- ('wyrok', 'subst') ('sąd', 'subst')
1353.0596268223599 --- ('umowa', 'subst') ('o', 'prep')
1336.9367836182937 --- ('lex', 'subst') ('numer', 'brev')
1336.632858555764 --- ('podstawa', 'subst') ('artykuł', 'brev')
1321.8945512315258 --- ('dzień', 'subst') ('kwiecień', 'subst')
1319.9706758465618 --- ('przed', 'prep') ('wszystko', 'subst')
